review_id,review_text,clean_text,tokens_clean,rating,review_date,bank_name,vader_compound,vader_sentiment,distilbert_label,distilbert_score,distilbert_num,themes_str
809c46d2-730e-446a-9061-2a45e978ad9d,good jop,good jop,"['good', 'jop']",5,2025-11-27,Bank of Abyssinia (BOA),0.4404,positive,positive,0.9998409748077393,1,Other
63f63b8b-016a-4262-a27e-f0de9ebf985a,ok,ok,['ok'],5,2025-11-27,Bank of Abyssinia (BOA),0.296,positive,positive,0.9997851252555847,1,Other
f28a3a3c-eb94-4aab-88d2-89bcecebcc7b,bad exprience...it is so crushed,bad exprienceit crushed,"['bad', 'exprienceit', 'crushed']",1,2025-11-27,Bank of Abyssinia (BOA),-0.7973,negative,negative,0.9998053908348083,-1,Other
4ed89e8c-16dc-4763-94ca-04d05cf799a5,not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,user friendly requires huge connectivity also lag many time,"['user', 'friendly', 'requires', 'huge', 'connectivity', 'also', 'lag', 'many', 'time']",1,2025-11-26,Bank of Abyssinia (BOA),-0.4268,negative,negative,0.9997656941413879,-1,"Transaction Performance, UI / UX"
7ef21cf6-d226-4370-ab96-01c909dbc58d,very good,good,['good'],5,2025-11-25,Bank of Abyssinia (BOA),0.4927,positive,positive,0.9998520612716675,1,Other
896ee9aa-a483-4b1f-b73c-0a26c4b54790,most of the time is not working properly,time working properly,"['time', 'working', 'properly']",1,2025-11-25,Bank of Abyssinia (BOA),0.0,neutral,negative,0.9997636675834656,-1,Other
15c3586b-e672-48db-b3c0-09508375763f,good service,good service,"['good', 'service']",5,2025-11-25,Bank of Abyssinia (BOA),0.4404,positive,positive,0.9998499155044556,1,Customer Support
6f7113d8-180e-4f3d-83d9-fbe55f9edd69,not use for me,use,['use'],3,2025-11-23,Bank of Abyssinia (BOA),0.0,neutral,negative,0.9953739047050476,-1,Other
d36fbdcb-b57e-4384-8e5b-ae549e25b33e,It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,keep notifying disable developer option quiet im enabled always bring another type problem new update,"['keep', 'notifying', 'disable', 'developer', 'option', 'quiet', 'im', 'enabled', 'always', 'bring', 'another', 'type', 'problem', 'new', 'update']",1,2025-11-22,Bank of Abyssinia (BOA),-0.4019,negative,negative,0.9968326687812805,-1,"Feature Requests, UI / UX"
2d630116-152e-4dbb-bb7a-d7f93bbafbc5,waw,waw,['waw'],5,2025-11-21,Bank of Abyssinia (BOA),0.0,neutral,negative,0.7346171736717224,-1,Other
